track_id,artist_id
1DEI0amdbd2i5hTs3fXtfs,273A7R9wiZyELSDRw8HvIj
1SoP2zC2ttcI2zjuRsQ5xx,1n2pb9Tsfe4SwAjmUac6YT
5Q4M16AsBdGZc31KDm0kU8,6H1RjVyNruCmrBEWRbD0VZ
48tAdjG4ng2JfECa7OQujk,5q8HGNo0BjLWaTAhRtbwxa
5NUyKKImIbOnezjnaxsdDr,6V7pNWhlJpD0s0bMdB1PU9
41i0yDGjtlXKOJQPdBu2Jy,7mEIug7XUlQHikrFxjTWes
5TzrUONJL0qkk8WDJqEGfj,0yNy4CEOY4IqNGqCTf97dZ
6GdqL01aKgClu3DS6qtlro,0hrdLMGOZtvJCdiuXyzPYE
6GdqL01aKgClu3DS6qtlro,2IZBX6voyaO4APMNOQIm19
5uFYYOyT3EclOVhiFzPJSz,2FrKQPjJe4pVMZOgm0ESOx
3gDtrR0W8CmkyS6mweesSS,3d2hJTVTwo08F9b0ZFQukJ
4szSZo7vd9rR2fQ8vtznuB,1ffNa7yLg0ncUpBm5P03pm
6c3y6o12GgrfZe06v0auew,01zQA436fdUqmEWvljtzxr
6MxMqCgqmekcr0VwSU7AVH,6fOMl44jA4Sp5b9PpYCkzz
733ncRLzZQT5UtSPg1QmPc,1KCSPY1glIKqW2TotWuXOR
4k6kTLHeSTvtG1vSOGOPEx,1rHh0AI30JhKrbzKIFjFNd
4vju55Ag7apDL2CfotuE7Q,2uNpV18izVIP7DNusoWbT5
12BB5t506Of3s3NPBoKScC,1CgE69lpZKGAcA5kIIK82D
12BB5t506Of3s3NPBoKScC,1HCE0pbqGLSvWaz5q4TeDd
7k4t7uLgtOxPwTpFmtJNTY,790FomKkXshlbRYZFtlgla
7k4t7uLgtOxPwTpFmtJNTY,0hCNtLu0JehylgoiP8L4Gh
7dyaRJOrRnfobcE5jxZgZz,3Z1tibPKhUYWCno0IYicCN
7MJPH9KJ0dCpHFMnDViuiu,7CyeXFnOrfC1N6z4naIpgo
7HWH4kGaHR3ZwKNFPT4dSW,5ZEAzHE2TzAwUcOj6jMIgf
3HFGDi2zGIgdXTocV5k2cs,4QQgXkCYTt3BlENzhyNETg
1ynmMEK1fkyiZ6Z6F3ThEt,69Mj3u4FTUrpyeGNSIaU6F
1INWPr855fwWdAOeecbu0W,7qQJQ3YtcGlqaLg5tcypN2
0dEQaNYfp5G7Sflek2Qnde,0p4nmQO2msCgU4IF37Wi3j
5RIVoVdkDLEygELLCniZFr,7juKTDFlPesGeWQ1GmjmOv
2374M0fQpWi3dLnB54qaLX,0PFtn5NtBbbUNbU9EAmIWF
1LOZMYF5s8qhW7Rv4w2gun,6i6WlGzQtXtz7GcC5H5st5
1rqqCSm0Qe4I9rUvWncaom,20JZFwl6HVl6yg8a4H3ZqK
1DSJNBNhGZCigg9ll5VeZv,26dSoYclwsYLMAKD3tpOr4
0AfIsqZ4gTUg9CwwW2jLeK,49qiE8dj4JuNdpYGRPdKbF
4rcHWl68ai6KvpXlc8vbnE,55vs7NT1KxcFjbMC4y202E
4XKrWQcCNHFIMyxE11OMzl,4ZeqFaMDjGUe1IHJznXUbr
2dEgwtRjYl6TJkIwjRwn6z,7HLvzuM9p11k9lUQfSM4Rq
5Lst1j9rvgyzaCciTQn0v9,6LK7EEHFApe9FZbFRFyBDN
2GibUNItz4ThOCLNizYgpR,64vw6q9ZBTop3Tf2ol1x4U
2GibUNItz4ThOCLNizYgpR,1pXoY8oTJtPVGsrB4jmCRw
6wKAZB2lwOWeqpwquNHThG,6iA5wBxxMxUMr9a4fnJd34
2eq1ZLy9Q1aaB8AjHAMb2m,17vIaBTHJOVxnU4v7t1DiY
5hhF25sWnZvXhimOHLjTRE,3WrFJ7ztbogyGnTHbHJFl2
1xE7osYAtzz1PvLoVdOp5E,3nFkdlSjzX9mRTtwJOzDYB
2dEgwtRjYl6TJkIwjRwn6z,7HLvzuM9p11k9lUQfSM4Rq
5EL8hqM8YQJHKKnzGdahly,6IE6z7DcZIT4Ml3Fh5Ivch
1VdZ0vKfR5jneCmWIUAMxK,6eUKZXaKkcviH0Ku9w2n3V
2dEVFDQ9Z9Gyl73yhoKl65,3iDD7bnsjL9J4fO298r0L0
0rhP8F3BwxmRrdSo4a23Mu,1KXwUKaBcLySwrCSsOa0aa
2O7KD1tW6eyLLSE7ce0ohD,7gi3jmwpUpNWdswT8eEprF
66X03EIfE1zm99rd4SfL71,2sd9Q3r0Jhqpe3w9WVuG43
4zK1pYVKMB13es6Bim0muF,1LZEQNv7sE11VDY3SdxQeN
09huOVRryZNV2deKFZLJDC,02Xpf8IlAGeelWAQZP33kQ
6Vas6h9lB5mmeVDXdFqlQA,266SmBZTt4zRzaKEANWbfQ
39lSeqnyjZJejRuaREfyLL,0lZoBs4Pzo7R89JM9lxwoT
67eX1ovaHyVPUinMHeUtIM,3lPQ2Fk5JOwGWAF3ORFCqH
5c1QJAiC3773EwiZLwHf5x,5gznATMVO85ZcLTkE9ULU7
77btuAAez622DcWAqhL2kA,5QKYeEDsNp6ScBnkGdfrx9
360ZhWvMnyXKYFG9Mqsm89,0N0d3kjwdY2h7UVuTdJGfp
0cqgYxYSTdhEkdiiy3dcQV,0MPtuQaV2GiRdLjAkPOaan
2VxeLyX666F8uXCJ0dZF8B,1HY2Jd0NmPuamShAr6KMms
2VxeLyX666F8uXCJ0dZF8B,4VIvfOurcf0vuLRxLkGnIG
5uCax9HTNlzGybIStD3vDh,4IWBUUAFIplrNtaOHcJPRM
0M3tyQn0hS1j1X9TGQKUsL,4L1z1IcfK7lbqx8izGHaw5
07fZuhOPreLVpwuLkTCRLH,0c08N8UlFjDaup9TNDaWxy
07fZuhOPreLVpwuLkTCRLH,5iAUyEtaKVbqz3TDhXsz2H
7tFiyTwD0nx5a1eklYtX2J,1dfeR4HaWDbWqFHLkxsg1d
6klLvorLoo1sxvZcjJIY8I,7wlFDEWiM5OoIAt8RSli8b
52jOr9c1lYG6dL4q1AB2zH,0auxGqduSBWubpKjjSNKLr
2Q20X4fKdfYZxMbrqiO1S1,2owAqJG3UT1Qel0oW0ote7
69ixEGatllReEVQUVpOMxG,7y70dch6JuuuNnwlsOQvwW
5c1QJAiC3773EwiZLwHf5x,5gznATMVO85ZcLTkE9ULU7
7uABD1Cd6M8SGA75OxeUqB,1k8VBufn1nBs8LN9n4snc8
6xupOaBWORbDmakCdQwMRG,7bNoMfBqbaLJrfH3Vw1q6L
1KGi9sZVMeszgZOWivFpxs,0TImkz4nPqjegtVSMZnMRq
2v7EtltU7U7WmUovLg4UGh,1bs7HoMkSyQwcobCpE9KpN
6uqTETWok9npbL4c9cuLVh,0PDqlUGugF5Jt6DZyATvfz
5RKQ5NdjSh2QzD4MaunT91,0rvjqX7ttXeg3mTy8Xscbt
2gYiCTytrSRtuaHP1Nac6u,0BvkDsjIUla7X0k6CSWh1I
6Sxqtvxg7vPgoBPx4ThFog,6dQgkiJm1fRkcqKOvPzysr
4oUmIFmLr63KWNDcxBK7x3,7fmKtIgmxqNEKjATioVNsu
6SvOdNsEfi7EDB0oFtH3YG,5ZEAzHE2TzAwUcOj6jMIgf
2DEEMhTiUMvkiHFdXkrKfI,6kz53iCdBSqhQCZ21CoLcc
6mIY6O7uNGgVqOoX70UAYh,2y8Jo9CKhJvtfeKOsYzRdT
2enprHJA0siL33w7TaN7VH,1Tdrtr2WwDDde01GJllidM
2KznT5GjThKWgDGM7yppb4,3j7Sw80qzL2FJlryUhI3wG
6Vh03bkEfXqekWp7Y1UBRb,4AK6F7OLvEQ5QYCBNiQWHq
4t0UsYzmmmZRMTWn77jiGF,2WvLeseDGPX1slhmxI59G3
2pRQeTrtd34PmX2vESvQUl,71lGEtP9qYXDsSXjfexTqO
7jslhIiELQkgW9IHeYNOWE,3TVXtAsR1Inumwj472S9r4
7jslhIiELQkgW9IHeYNOWE,1RyvyyTE3xzB2ZywiAwp0i
0oDvvRy7hFls1rveWR3FUU,6Bfy6QzadCXS92y0T8dDZF
1SGTEdUECjytlDGrB6W5nm,6RWnslEkqboHbDg0OUabe5
1P1drZCIcMAqTMbO2DzImN,3Mcii5XWf6E0lrY3Uky4cA
2CzYQ2ktwSMGnA5ypH2a8w,5lkiCO9UQ8B23dZ1o0UV4m
2mIa7yUMZyREQXxrRpkefS,0Ma8KxtvoIDSU5fHtuTS9F
1xVOttVNT27FBTD8iHjOfU,7gi3jmwpUpNWdswT8eEprF
1AEYT6VxrxXPMoQUxsY0E4,1UdQqCUR7RwB9YYJONwbdM
1000nHvUdawXuUHgBod4Wv,7jVv8c5Fj3E9VhNjxT4snq
69HICMmc6nNLucAx3aJX9M,7EK1bQADBoqbYXnT4Cqv9w
1dJuteDIOkGfDSN7zPkzNv,16eRpMNXSQ15wuJoeqguaB
5xT8JXJSyHYNfC11OFqzFL,53A0W3U0s8diEn9RhXQhVz
1WEAP2NGD5Nf7SLMFvItXt,0Jeckitay8SbvKwqAzWuYH
0pgeVJrdNok4KhbiM58ayZ,0I5HubncQ8E1MFZOlPDY4J
1VdODpkKqLQ20VNlyN2H9e,7d8R11w4QG2ihJeTaZq37F
4YHFkUf0KTaBbRxED9nGAg,2Uuon75BhnuuxdKLYn4wHn
5yc59J3MR3tVDPTOgwgRI5,0YrtvWJMgSdVrk3SfNjTbx
0PfEuXdMQIMgUpbWZcMWd0,1Kpw1Yu7PGX4iqfmL1qbJ0
5RHf8SmHRWbF3oywpXaQ2i,2iE18Oxc8YSumAU232n4rW
6EkeTn530FSyUGdoC7ZpoL,3EY5DxGdy7x4GelivOjS2Q
5v6b9RUk83Z33shcsqt1m3,0MBIKH9DjtBkv8O3nS6szj
2pC0dqyjXdrESexBfLXsp1,522yoVmanZmrgK5qy3GyRK
6TqXcAFInzjp0bODyvrWEq,6LuN9FCkKOj5PcnpouEgny
6TqXcAFInzjp0bODyvrWEq,6nS5roXSAGhTGr34W6n7Et
5S9lfZu1YF8xKkgSsqL2Bd,5WUlDfRSoLAfcVSX1WnrxN
5hnyJvgoWiQUYZttV4wXy6,3rIZMv9rysU7JkLzEaC5Jp
0FO5CkdIFiKOJNETXTyCMS,1fBCIkoPOPCDLUxGuWNvyo
31EaTr0ecaCxeauIm3iWAU,5sAg1HZePcFfhrs0G8A8OP
0LX9NtcK0BdAp83Tl5pDIJ,3SIW6eVIZSz9V05WsaKIr3
0tWafhSMBKXG1xcz6OPDNx,1Q4owXd4g9XfHNykUm6GJh
5WHAySW7mtAKHsaUh9N1Rr,0tCtGc5vt29zFZp6KXzN50
5WHAySW7mtAKHsaUh9N1Rr,2Jwr7hGoSNK3S3QBxh3T0z
5mKqa89zAVKXMRY92haT6p,5dcOK4stT4JDkP6Dqhbz5s
49f1yPA6sXG9p893m0rgvp,6LXtFndRkOihPIa2dWY3FH
6HmrvuWeY8zAvS8BIwGL4m,4FtSnMlCVxCswABUmdhwpm
5yp4U4b172RqYuUexORgVX,1yjuFciXmV3NaPCzwwHclC
5TRDExTcoThDZZ1myVFtlo,4salDzkGmfycRqNUbyBphh
1bHoWgbCixwEqq817VtNQa,34jw2BbxjoYalTp8cJFCPv
7qiZfU4dY1lWllzX7mPBI3,6eUKZXaKkcviH0Ku9w2n3V
6sqNctd7MlJoKDOxPVCAvU,0p4nmQO2msCgU4IF37Wi3j
2BWK9am114SC2Cq5KL2Fbs,1T0wRBO0CK0vK8ouUMqEl5
1RBQwoVvDh9SjLnJMzpRbJ,6LYeatSMMLGVN0DPtMkmTM
7nSyzFpoLZUds8P6387E3Y,4X5sDGyZvekLEEbM1bm7GD
4HlFJV71xXKIGcU3kRyttv,3FUY2gzHeIiaesXtOAdB7A
0XKMWf41IPSbQacyRU3agk,4BoRxUdrcgbbq1rxJvvhg9
6tunhVGD8C05MZNjSVIsjw,34E3csCxpXunPGEkOVVX2g
69sIrKE4gd2NdIdstf9Ebh,6dQgkiJm1fRkcqKOvPzysr
20CIZ7fNaNEBSCFrANpkd2,1eOE3eEJL7vPDoe4cwm5q0
2ZJZcqM60OwgqTO1OvJpHL,0U2mUJuJkthantMGmsJygP
5OGkKx8jP0A5KSULEc6XYZ,6aZyMrc4doVtZyKNilOmwu
1FVYxUTZ67w7SPq6RpS9VQ,20p5D2KrE8CGuOjHtxsyTp
2lNjKOEumoJbrir0Y9dmPB,51d3rUlLuMh7EW09aMe7yj
05Sgj1Hx03ZXc57gsV1kfX,23LbwefIODbyGdRbAz3urj
05Sgj1Hx03ZXc57gsV1kfX,14J79DfdiKcztA7WrrpqIP
0XQxZZIgdcXBaxgL7zMKpK,25pwh5JrKHzLv2FTPSvoqa
5kJpLI5axvOQbGt0x4Nsko,6TKOZZDd5uV5KnyC5G4MUt
7ornLs8NlxZ95IDWTyBIEj,7Ey4PD4MYsKc5I2dolUwbH
74i6ZrnR1WzZsuc3qrJg7I,0DAqhikcMKLo2lPADVz2fs
1Jo0Zg7XlrA6z0mFTZVdkn,5pKCCKE2ajJHZ9KAiaK11H
4aoFEmO44KyV0zKgmP3jA8,1QAGLCom3FHTTiuRFsjzOj
3Nf8oGn1okobzjDcFCvT6n,0GByy3DcfbQwDvXGCWmzv9
5UPHkS5lG9J5dN2ymOsXTQ,0DAqhikcMKLo2lPADVz2fs
5A6NxpltFMv6jCsuA1qRHQ,6zmLTiN3NBNCDECRbbJKkT
43deBIFPPZo1lO18ll67Wy,4dNs4gsyisVixgpkjyvD8D
2PN3gbuBn5WBEwrEJH3xiu,3UVRliakQfa1pMWIsNuiZ8
1bNdtZeHdLoi5KuilQTqVn,67RWyN1fDOu7WuSTIi5hE7
0Vth3l4XAo8hNYmxjzhr2y,3JhRHqCi8HEzkJVWt19LtN
5vollujufHY0jMZxx77VWr,0C0XlULifJtAgn6ZNCW2eu
7EumbJIbcVSyJSYKc4aVsT,7qQJQ3YtcGlqaLg5tcypN2
0RZcHTeLsymGyBd3hDarCm,3YmywXnB2RxQ9IvUzZqvo9
3UxZw2CfZ3dmNIii4CxMtG,2y84iEkH5jHZcou93YUSXE
10Nmj3JCNoMeBQ87uw5j8k,0L8ExT028jH3ddEcZwqJJ5
5kMsjfhYMZ1L9Btuu0AIRx,3nFkdlSjzX9mRTtwJOzDYB
4JAFyW6oZV6DIADeV619QG,5gxynDEKwNDgxGJmJjZyte
6zFMeegAMYQo0mt8rXtrli,7jVv8c5Fj3E9VhNjxT4snq
71DDK14XVxkXLmG3AVi1BP,7H6dkUChT5EoOQtUVMg4cN
1QOxGqu6VTjx58nslWBFVW,3KV3p5EY4AvKxOlhGHORLg
5I6YA7oHtraxwWQzzCugDt,0YWxKQj2Go9CGHCp77UOyy
0QJEYxwztwNsHha0LIHAOU,4VnomLtKTm9Ahe1tZfmZju
4MI0gAD5TlqYXVyV6JePrT,7crPfGd2k81ekOoSqQKWWz
5bQ8psGbXl0heZAiwG9jW6,1n2pb9Tsfe4SwAjmUac6YT
76GlO5H5RT6g7y0gev86Nk,7bu3H8JO7d0UbMoVzbo70s
7uWFUpGuEfmxYeymkV95jn,1R6Hx1tJ2VOUyodEpC12xM
0zxj7dVhYZq5ACyaDx5XIo,6PAt558ZEZl0DmdXlnjMgD
3HAShVDebh4NPxU0fDhk8z,01W8kYNqFHyKicPfR0pLwO
5oiYZZ0EszGPhy9N0L12rP,1ffNa7yLg0ncUpBm5P03pm
6RqVsH31674xZUNg6m9mMt,1mYvu9huHeR7ho3iGAgCsn
3YXPyakTFaoVS2ffimogLR,0NqxUSg57tX1o1WG7VU1Vp
2HZGsnMByx3V8KmNW6LqWF,1co4F2pPNH8JjTutZkmgSm
5dFvprlP5JS7gxeaMhMOWS,3HC7NcxQx2Yk0fWoRKJ0xF
1uigwk5hNV84zRd5YQQRTk,7o95ZoZt5ZYn31e9z1Hc0a
3ZxfehzRtB3oJcBuxWXFZQ,53QzNeFpzAaXYnrDBbDrIp
5o89Bf80t8ko3uNXJkYoVs,6qI4LTzMRpTxRzMZPvv2C6
0zLMsK6UeAP4KrbekFbHvC,2gdX1GbQ8sljsTVwDaIpkc
0zLMsK6UeAP4KrbekFbHvC,4nQSjiDD7asXlRBCD1uqWA
2xdSF7JRootmerTeradyGb,2kCO8LXN1usaOPL3iEE28I
5Z19ylxppfnfdP4JH0u8oj,1mfDfLsMxYcOOZkzBxvSVW
2QqbBVwpyJn7SL7thga35w,55qiaow2sDYtjqu1mwRua6
7kZZ2Hmkg1zfwrQLsmypNE,5jit9WjiAxxvdA0onOHBLd
1AjxpCAne6mI0XztUceFPO,1sXbwvCQLGZnaH0Jp2HTVc
2ANLarE8yHVsLWW21nj79M,4O15NlyKLIASxsJ0PrXPfz
2fNx5nTZGjniOMT5FMcTyE,3gMaNLQm7D9MornNILzdSl
61XldWSH5dFwosPZToxNOf,3qbnxnvUqR14MJ9g8QwZJK
7KXjTSCq5nL1LoYtL7XAwS,2YZyLoL8N0Wb9xBt1NhZWg
7J8A3XOuGFnGheoSsHUXC8,4PI5IHRvANLL76O5gRmGKL
1ksayCHVLH4eKFm43GFokU,0543y7yrvny4KymoaneT4W
7uYroF9RRrhRJBrigRvB6H,1FizW0swe8ODtXvEOHXbHX
27sYHmgfRvHFyQ5vrm5nQp,3aVoqlJOYx31lH1gibGDt3
7N3PAbqfTjSEU1edb2tY8j,2cnMpRsOVqtPMfq7YiFE6K
5AD7iwvIzbiABVsMndAmez,3sFhA6G1N0gG1pszb6kk1m
0AzETg7Vecim0WSOp6PyDb,43ZHCT0cAZBISjO8DG9PnE
1OppEieGNdItZbE14gLBEv,57bUPid8xztkieZfS7OlEV
1Ab6RxeKl3e07zP7Get7CX,1KCSPY1glIKqW2TotWuXOR
4CoSCPlKNrWli7E5kFtbcl,08GQAI4eElDnROBrJRGE0X
5nI0dG8Div5AApredQ6Z7v,319yZVtYM9MBGqmSQnMyY6
5vGLcdRuSbUhD8ScwsGSdA,7arQA31aZVS8yS6zUveWzb
464fUpkgSEPH1onUGoW8Kt,2FMZn5P3WATd7Il6FgPJNu
6QOg1CWFpLAsIK7I54JX4G,5pBljwfwnohfSNDXixEYHm
6p8i9A3hkXzgk5DMcJyEWg,09xC3MewWz48F1OpYckXTZ
3ZCH40iuXsZ0ecxH9LSW2j,1Ov9t7KbQF0oz9B4JsMfV2
60jzFy6Nn4M0iD1d94oteF,5pKCCKE2ajJHZ9KAiaK11H
3wScL5W8H40zzCKN0atfBk,55Aa2cqylxrFIXC767Z865
3wScL5W8H40zzCKN0atfBk,2cADQgiLMjNhbsfeN52Bf3
4TVTbdNZtCJEhibH231GxQ,3SRJWVa6lZnqRHOyAHmDrX
4wtHbIS26FOtpjMkaQQ8Zk,2ZqXK2gIDbfE7aOvkNObPW
0MK5cWK5ayWQQyGFNuwFz1,53I5L1MaOYGfbRM1uZ80xg
4eI8okfmurpexL41RdjkGA,1UjTUqWfGkof4L5HO5NmzP
2ENexcMEMsYk0rVJigVD3i,5pKCCKE2ajJHZ9KAiaK11H
16AaO3x5uTWBvrb3bqgQdZ,0EodhzA6yW1bIdD5B4tcmJ
1oTo3ijRbaDAtrjJrGAPSw,6FBDaR13swtiWwGhX1WQsP
6W2Ef5Ph6ILTUAedoQ3QIv,31TPClRtHm23RisEBtV3X7
4MeDnO5yA2Zi6IMlVApRci,4Js9eYwAf9rypNtV8pNSw9
