"year","acousticness","danceability","energy","instrumentalness","liveness","loudness","mode","speechiness","valence","popularity","genre","duration_min","duration_sec"
2019,11.7,55.2,70.2,0.00206,10.5,-5.707,"major",15.7,56.4,98,"pop",2,58
2015,0.253,59.8,78.6,0.16,11.7,-5.572,"major",3.83,45.6,74,"pop",3,51
2016,0.0512,54.7,88.5,0.00937,39,-5.961,"major",4.18,19.2,81,"pop",3,56
1988,0.394,43,88.3,0.248,9.8,-7.517,"major",4.13,43.2,26,"pop",3,44
1977,14.5,64.5,34.9,52.8,10,-16.168,"major",3.67,56.5,48,"rock",3,12
1972,17.1,69.4,30.6,7.36,8.66,-19.315,"major",3.53,52.1,65,"rock",2,24
1996,0.0283,55.9,95.3,18.8,18.7,-4.657,"major",5.68,23.6,47,"pop",5,1
2013,4.71,49.1,84.1,0,8.86,-3.579,"major",4.21,72.1,69,"country",2,43
1993,1.53,74.2,73.4,72.8,4.93,-11.393,"major",4,72.3,47,"classic",5,19
2010,2.75,51.2,66.2,0,11.8,-6.797,"major",4.39,47.2,80,"pop",3,48
2005,1.01,77.6,73.6,0,18,-6.308,"major",25.5,53.6,60,"rap",4,4
1979,27.7,70.7,73.2,0,13,-6.292,"minor",3.03,92.8,56,"rock",4,2
1987,57.9,49.7,69.2,0.00198,8.28,-7.071,"major",3.2,48,51,"rock",4,0
1990,30.6,57.2,84.6,0.00131,16.9,-10.081,"minor",6.17,59.6,45,"rock",4,24
1976,12.4,57.1,95.3,0.000557,35,-5.002,"major",5.68,68.2,56,"rock",2,49
1980,8.83,53.3,77.1,0,4.28,-6.512,"major",2.8,85.3,46,"rock",3,37
1984,0.376,67.9,86.6,0.0031,31.2,-6.053,"major",6.35,78.5,69,"rock",3,21
2010,2.66,76.2,74.8,0,34.8,-4.15,"minor",3.3,85.1,64,"pop",3,19
2011,1.65,66.8,71.8,0,10.4,-4.736,"minor",6.05,34.5,71,"pop",3,12
2010,4.44,61.5,71.1,0,14.5,-5.507,"major",7.79,71.1,69,"pop",3,41
2007,5.69,90.6,58.3,0,12.6,-7.721,"minor",31.7,82.9,71,"pop",4,52
2007,9.61,88.8,77.7,0.00314,5.14,-6.262,"major",5.05,87.6,42,"pop",4,2
1963,82.2,54.1,34.6,0,31.1,-12.348,"major",3.08,61.7,41,"pop",2,7
1995,20.8,22,76.9,0,9.85,-5.125,"major",5.4,49.5,63,"rock",4,18
1997,29.8,41,46.8,0.00119,4.26,-8.177,"major",5.53,47.5,65,"pop",5,20
1998,29.8,41,46.8,0.00119,4.26,-8.177,"major",5.53,47.5,65,"pop",5,20
1993,1.12,78.8,77.8,2.4,22.5,-9.825,"minor",7.58,59.6,40,"other",4,20
1987,21.6,64,64.9,0.0083,5.51,-10.345,"major",2.64,86.5,77,"rock",3,41
1980,0.448,68.4,67.9,0.832,11.2,-8.891,"major",2.55,78.3,52,"rock",2,44
1977,6.44,82.8,49.2,0.428,12.8,-9.744,"major",2.76,78.9,87,"rock",4,18
1988,3.54,77.8,66.9,1.32,9.73,-9.735,"major",3.67,83.4,53,"rock",4,7
1979,22.4,62.8,77.9,77.6,15.1,-11.841,"major",8.31,93.6,60,"rock",3,38
1977,3.93,67.1,71,0.00112,3.87,-7.724,"major",3.56,83.4,77,"rock",3,13
1961,72.4,54.6,66.9,0.0189,49.7,-10.922,"minor",4.49,72.5,4,"pop",2,25
1991,0.0851,55.7,79.8,67.5,18.3,-7.405,"major",9.35,79.4,71,"hip",4,4
2003,10.7,73.3,52.1,0,6.92,-3.657,"minor",4.57,52.5,66,"hip",4,55
2001,27.6,69.1,47.6,0,9.51,-4.702,"minor",5.2,54.1,50,"hip",4,40
1976,31.2,47.5,55.6,0,21.6,-8.388,"minor",3.21,91.7,42,"other",4,40
1969,21.5,52.3,80.2,0,20.2,-5.612,"major",4.31,96.6,21,"other",2,49
1960,30.5,41.7,41,0.0423,11,-12.107,"major",3.69,95.4,26,"other",1,57
1959,65.5,65.7,66.3,0.0398,13.6,-10.676,"major",4.99,96.7,41,"other",2,5
1958,21.1,48,47.6,0,6.73,-6.558,"major",3.03,80.1,4,"other",1,55
1960,51.8,58.2,28.9,0,10.7,-14.339,"major",4.65,74.3,52,"other",1,58
1961,8.58,69.6,53.3,2.6,15.8,-12.406,"major",3.4,88.7,32,"other",1,44
1959,79.8,67.4,87.1,0.000479,7.53,-4.771,"major",3.56,97.4,36,"other",2,25
1974,62.7,64.8,64.6,0.00049,24.7,-8.201,"major",5.02,81.2,62,"classic",3,29
1994,0.308,81.2,60,0.000838,17.3,-9.414,"major",25.4,55.5,66,"hip",3,46
1963,52.1,63.3,56.2,0,9.56,-7.178,"major",3.47,79.9,20,"other",2,27
1991,0.00418,70.8,60.4,63.9,4.89,-13.591,"minor",4.37,63.2,34,"classic",7,35
2010,12.7,80,53.6,0,10.6,-9.533,"major",8.93,24.7,55,"rap",4,4
1963,68.1,55,39.2,0.231,10.5,-10.328,"minor",2.38,57.2,25,"soul",3,2
1990,57.3,67.1,91.4,0.000277,8.56,-4.598,"major",10.7,80.6,65,"other",4,26
1990,4.13,65.9,76.8,0,28.8,-6.26,"major",7.28,86.7,44,"other",4,31
2006,3.07,54.8,76.9,0.000553,8.67,-4.853,"major",3.12,38.8,66,"country",4,8
2002,31,58.7,77.8,0,31.8,-4.233,"major",3.43,31.9,56,"country",4,14
2017,1.03,55.4,90.3,0,10.7,-3.152,"major",5.15,41.9,55,"country",3,27
2007,3.07,54.8,76.9,0.000553,8.67,-4.853,"major",3.12,38.8,66,"country",4,8
2007,0.476,49.9,85.7,0,10.2,-4.501,"major",3.74,32.4,45,"country",4,27
2000,57.8,64,78.1,0,27.2,-3.155,"major",3.98,64.6,52,"country",3,36
2009,32.4,45.8,58.5,0,23.1,-5.574,"major",3.42,19.6,49,"country",4,5
2006,0.88,53.7,67.4,0,26.5,-5.134,"minor",2.77,33,71,"country",3,34
2005,48.3,48.4,29.9,0.0112,14.5,-9.903,"major",2.86,23.2,39,"country",4,21
2004,67.1,59.1,45,0.00223,15.9,-6.369,"major",2.66,34.4,74,"country",3,47
1985,43.7,50.2,35.2,0.00584,29.3,-14.362,"major",2.76,35.8,51,"rock",4,53
1992,5.53,81.1,82.3,0.000452,15.8,-5.921,"minor",4.23,82.7,76,"rap",3,39
1986,1.92,61.9,54.5,0,6.76,-10.206,"minor",4.2,47.9,52,"rock",3,28
1961,83.9,58.4,21.7,0.0956,10.7,-15.429,"minor",3.22,49.2,20,"soul",6,39
1972,0.24,49,89.5,0,9.01,-5.851,"minor",5,35.4,42,"rock",5,42
2017,20,54.8,90.1,0,10,-2.637,"minor",4.53,55.7,55,"country",3,26
