"year","acousticness","danceability","energy","instrumentalness","liveness","loudness","mode","speechiness","valence","popularity","genre","duration_min","duration_sec"
1993,1.49,71.2,78.7,2.74,7.88,-13.26,"major",4.75,86.4,39,"hip",5,1
1991,13.7,84.5,59.1,65,12.9,-14.87,"major",6.27,76.5,39,"hip",3,17
1965,50.1,32.9,47.2,0.0315,10.9,-6.626,"major",3.28,56.4,13,"classic",2,38
1965,38.1,67.8,69,0,35.3,-5.589,"minor",3.97,68.8,16,"classic",2,4
2019,5.19,65.2,45.3,0,17.9,-6.119,"major",4.45,43.2,68,"pop",2,57
2007,0.462,68.8,73.4,0,7.56,-4.569,"major",2.74,46,76,"pop",3,28
2006,0.0738,68.3,88.6,0.188,5.24,-5.045,"minor",7.1,56.6,59,"pop",3,17
2008,0.0334,53.4,87,0,24.1,-3.078,"minor",4.25,46.2,80,"pop",3,35
2000,8.54,82.2,84.7,0,4.52,-6.729,"minor",9.17,66.8,59,"pop",3,23
2008,0.462,68.8,73.4,0,7.56,-4.569,"major",2.74,46,76,"pop",3,28
2001,0.224,77.3,68.6,0.000206,34.7,-6.596,"minor",16.3,66.1,51,"pop",4,8
2009,6.35,61.4,79.7,0,18.7,-4.896,"major",3.14,37.4,66,"pop",4,12
1966,35.4,35.8,55.4,0.00013,21.8,-12.927,"minor",3.81,41.9,49,"rock",2,59
1992,5.86,83.2,72.7,11.2,11.6,-10.017,"major",6.62,55.6,28,"classic",4,0
1962,90.5,27.1,17.5,0,25.1,-14.515,"major",3.48,19,15,"other",2,43
1994,39.9,67.8,71.3,0.000675,24.9,-10.031,"major",3.52,94.1,40,"pop",3,54
1963,77.3,51.5,33.7,0.0145,28.7,-10.9,"major",3.41,68.8,36,"soul",3,29
1992,14.3,69.4,67.1,0.00162,19.2,-11.576,"minor",3.03,72.6,1,"other",5,6
1972,27.3,61.7,39.5,1.28,28.5,-16.834,"major",3.54,44.6,33,"classic",2,58
1985,1.95,57.1,72.8,0.000283,85.8,-9.332,"major",6.98,66.2,24,"rock",4,17
1985,12.8,77.2,75.2,0.0684,32.4,-11.411,"minor",17.8,67.2,26,"other",7,22
1985,12.8,77.2,75.2,0.0684,32.4,-11.411,"minor",17.8,67.2,25,"other",7,22
2003,57.8,45.6,57.3,0.000305,11.4,-3.866,"minor",2.75,9.92,72,"pop",3,59
2003,23.5,43.5,92,0.0353,55.2,-1.357,"minor",20.1,45,69,"pop",4,6
2000,22.6,82.9,91.5,0.00125,24.6,-3.205,"major",10.6,77.9,66,"pop",3,23
2000,6.84,75.4,81.9,0,34.5,-6.833,"major",11.2,81.8,66,"pop",3,36
1999,20.9,63.3,80,0.0123,13.7,-6.945,"major",16.6,91.3,78,"pop",3,38
2002,57.8,45.6,57.3,0.000305,11.4,-3.866,"minor",2.75,9.92,72,"pop",3,59
2014,0.621,81.3,87.2,0,4.98,-5.224,"major",10.7,73.6,63,"pop",2,51
1982,2.13,49.4,68.3,0,28.8,-9.509,"major",3.23,47.4,47,"rock",3,36
1982,20.2,42.1,78.5,0.00125,16.6,-8.785,"major",5.4,84.9,38,"rock",2,58
1996,18.1,62.6,63.2,0,14.6,-8.692,"minor",2.87,70,48,"rock",3,32
1990,21.1,75.6,80,0.0724,4.66,-5.158,"major",3.29,96.7,71,"other",3,27
1977,10.5,63.3,35.7,0,13.3,-9.366,"minor",2.64,67.4,80,"rock",4,5
1979,44,49.5,43.9,0.00888,72.5,-13.212,"major",4.67,35.3,70,"rock",4,56
1977,34.5,57.5,40.5,0.00591,64.5,-13.346,"major",2.79,55.8,59,"rock",3,35
1972,47.4,39.9,32.2,0.00148,33.5,-14.021,"major",3.7,33,59,"rock",3,12
1976,1.82,68.1,71.6,17,33.7,-10.911,"major",3.33,96.3,71,"rock",4,16
1975,15.5,81.1,54.5,8.53,15.6,-12.969,"minor",5.79,73.4,64,"rock",3,42
1975,23.5,57.3,64.1,0.414,85.9,-9.196,"major",4.43,61.3,57,"rock",4,31
1976,34.5,57.5,40.5,0.00591,64.5,-13.346,"major",2.79,55.8,59,"rock",3,35
1977,3.22,70.3,82.6,0.629,17.9,-7.179,"minor",3.41,94.5,79,"rock",4,45
1982,8.45,92.1,52.9,0.0779,4.78,-11.974,"major",8.51,72.4,59,"rock",5,34
1966,71.6,66.4,31.8,0,9.6,-12.934,"minor",4.86,61.7,32,"other",2,32
2021,69.1,38,33.9,0,12,-7.885,"major",3.38,8.49,88,"pop",3,49
2021,38.8,44.3,29.8,0.001,10.3,-12.181,"major",6.44,17.2,76,"pop",3,30
2021,76.5,39.5,44.3,0.000967,8.39,-9.72,"major",13.3,33.8,86,"pop",2,56
2013,3.9,71,92.5,0,12.7,-3.329,"major",3.59,93,50,"pop",3,43
2015,25.4,52.3,83.4,0,39.3,-3.561,"major",2.81,44.5,55,"country",3,8
2018,48.1,50.7,37.2,0,27.1,-8.433,"major",3.03,25.7,62,"country",3,20
1985,7.3,74.9,69.5,0.000144,33.9,-11.977,"major",6.7,76.4,36,"other",5,40
1986,6.08,72.3,85.9,0.00126,16.5,-8.963,"minor",13.7,46.7,11,"other",6,34
1988,9.15,58.8,85.6,0.00262,36.5,-12.418,"minor",3.78,78.1,60,"other",5,10
1993,6.98,79.2,96.4,0,30.2,-5.405,"major",15.4,62.1,53,"hip",3,46
1969,92.1,19.1,23.2,0,13.8,-15.484,"minor",3.18,20.8,58,"other",3,22
1966,55,56,43.4,0,34.6,-14.151,"minor",7.29,66.4,73,"other",3,7
1966,36.9,43.7,36.3,0,17.8,-9.187,"minor",2.83,52,61,"other",2,58
1981,56.1,59,47.9,0.000322,8.89,-12.167,"major",2.78,70.9,39,"classic",2,57
1963,3.95,52.2,76.9,0.00102,12.5,-8.56,"major",8.25,95.1,13,"other",2,17
1989,1.07,59.7,88.2,0,8.97,-5.923,"minor",2.88,65,45,"other",3,53
1984,7.14,60.5,92.6,0.00218,9.53,-4.831,"minor",3.72,49,60,"other",3,57
2016,4.57,52.9,89.1,0,9.42,-4.36,"major",4.3,32.9,60,"country",3,20
2007,10.9,48.7,65.3,0.000515,11.2,-5.393,"major",5.22,31.9,42,"country",3,56
2014,34.4,52.7,90.2,0.00463,6.69,-5.352,"major",6.01,70.9,59,"country",3,11
2009,26,43.5,55.8,0,24.5,-5.423,"major",3.42,20.3,42,"country",3,5
2019,19.2,63.4,80.8,0,8.98,-4.12,"major",5.17,93.7,71,"country",3,7
2013,4.18,47.5,93.6,0,8.73,-2.545,"major",4.13,59.8,58,"country",3,30
1992,23.9,44.4,19.9,0,11.6,-14.508,"major",2.66,32,56,"other",3,12
1962,96,23.1,31,0.0134,38.3,-8.959,"minor",3.01,16.1,36,"other",3,23
1976,78.1,86.4,54.9,1.43,9.96,-9.741,"major",5.55,71.8,50,"classic",3,20
1982,2.31,85.5,43.8,0.0362,5.37,-12.563,"minor",3.59,94.4,32,"rock",3,47
1986,4.89,64.8,68.8,3.62,47.8,-13.139,"major",4.31,96.3,46,"other",3,24
1987,4.89,64.8,68.8,3.62,47.8,-13.139,"major",4.31,96.3,46,"other",3,24
1999,0.328,86.7,42,0.000318,8.87,-9.478,"major",16.7,36.7,47,"hip",5,7
1995,17.3,76.9,62.4,0.000102,37.8,-10.559,"minor",19.7,56.9,50,"rap",3,59
1959,84,47.3,50.5,1.07,15,-7.263,"minor",2.9,33.7,24,"other",2,41
1960,73.8,61.2,22.7,0,29.9,-15.734,"major",3.07,62.7,8,"other",2,32
1958,72.5,50.3,45.6,0,18.6,-10.56,"major",3.14,68.9,31,"other",2,41
1959,72.5,50.3,45.6,0,18.6,-10.56,"major",3.14,68.9,31,"other",2,41
1975,74.6,56.1,67.1,0.000914,10.6,-9.007,"major",4.13,76.1,23,"other",3,20
1979,0.226,63.1,85.8,0.0422,21.4,-6.334,"major",3.11,97.9,32,"rock",4,36
1983,35.9,55.4,63.9,0.274,20.5,-7.163,"minor",2.78,64.4,60,"rock",5,5
1982,10.2,44.5,88.7,5.79,8.62,-7.077,"minor",14.8,64.4,30,"rock",4,2
1972,81.6,27.3,32.5,13.3,46,-12.024,"major",2.96,30.1,1,"pop",3,17
1972,43.4,20.3,40.1,0,10,-12.341,"major",3.39,17,47,"pop",2,45
1974,65.5,43.5,29.4,0.000356,13.8,-14.779,"major",3.15,71.2,33,"classic",3,28
2018,19.9,49.9,79.7,0,9.33,-3.77,"major",5.54,40.8,65,"country",3,32
1997,43.2,81.7,58.4,0.609,22.5,-9.785,"major",17.4,50.1,60,"hip",3,49
1987,0.0917,62.4,43.5,0.000117,41,-15.44,"major",24.5,73.5,53,"hip",4,40
2000,36.5,91.3,83.1,0.00638,29.7,-4.443,"major",23.4,89.4,33,"hip",4,56
1996,43.2,81.7,58.4,0.609,22.5,-9.785,"major",17.4,50.1,60,"hip",3,49
2014,3.72,71.9,67.1,0.000821,12,-6.279,"major",3.36,78.6,74,"pop",3,58
1964,1.18,55.6,57,0.0526,19.8,-9.472,"major",3.93,30.4,66,"classic",2,45
1998,42.7,52.2,73.2,0,13.4,-5.773,"major",2.77,58.7,28,"country",2,45
1998,42.7,52.2,73.2,0,13.4,-5.773,"major",2.77,58.7,27,"country",2,45
1999,60.8,51.9,39.8,0.00179,11,-10.968,"major",2.73,24.7,25,"country",3,50
1998,12.8,65.9,75.1,0,33.4,-5.783,"minor",3.2,92.1,33,"other",3,36
1960,82.1,39.9,61.1,0,19.3,-6.321,"major",4.66,89.1,24,"other",2,26
1992,0.27,52.1,76.5,4.19,33,-14.367,"major",9.12,9.24,28,"other",3,55
1968,43.5,51.1,64.4,0.000531,26.4,-7.663,"minor",3.2,73.1,10,"soul",2,50
1967,40.8,83.7,32.4,0.045,3.49,-18.955,"minor",3.93,96.5,7,"soul",2,38
1967,76.7,47.1,12.9,0,14.7,-19.179,"major",3.21,28.5,5,"soul",2,56
1963,69.4,51.4,96.2,0.00265,64.9,-4.951,"major",16.8,64.5,13,"soul",2,22
1967,84.7,21.9,36.7,0,14.1,-13.046,"major",3.58,42.3,6,"other",3,2
1997,1.43,73.6,72.1,0,4.51,-6.188,"major",3.96,72,33,"rap",4,4
1987,48.7,39.1,22.2,0.000153,96.5,-12.999,"major",3.68,17.2,41,"other",4,21
1998,16.2,57,48,0,7.95,-8.611,"major",2.39,11.3,36,"other",4,17
1962,66.7,65.9,81.9,1.55,84.3,-7.747,"major",4.53,85.8,15,"other",2,38
2000,45,59.3,93.9,0.00133,10.9,-3.431,"major",6.16,74.3,9,"pop",4,7
1974,88.8,53.3,15.7,0,10.8,-16.838,"major",3.74,58.7,74,"classic",2,29
1973,88.8,53.3,15.7,0,10.8,-16.838,"major",3.74,58.7,74,"classic",2,29
1962,83.7,46.1,5.45,0,11,-29.029,"major",12,38.9,12,"classic",5,14
1962,58.9,56,52.2,0,13.4,-11.518,"major",18.4,51.5,33,"classic",2,39
1987,7.05,61.1,66.8,48.6,8,-10.164,"major",3.18,25.1,33,"rock",6,5
1967,4.35,67.8,66.8,0,9.24,-8.429,"minor",4.96,81.8,34,"classic",3,2
1965,58.4,65.5,77.6,27.6,5.55,-7.734,"major",2.92,93.8,37,"classic",2,31
1972,11.7,57.6,78.2,20.8,2.61,-11.324,"major",3.09,96.7,33,"classic",4,10
1966,5.41,75.1,68.9,0,28.1,-6.564,"major",2.81,82.7,46,"classic",2,46
1991,0.621,76,73.3,1.05,4.01,-9.312,"minor",6.75,79.7,37,"other",5,41
1965,89.8,66.9,29.8,0.000179,10.7,-15.045,"major",6.84,34.1,25,"classic",2,2
1965,71.7,67,27.2,0,17.8,-13.699,"major",7.04,61.3,64,"classic",2,27
1965,88.4,71.8,44.8,0.0367,20.5,-12.228,"major",3.84,74.9,28,"classic",2,17
1966,40.3,66.8,37,0.000131,10.3,-13.764,"major",6.73,58.5,35,"classic",1,52
2011,18.2,67.3,93.2,0.000193,30.3,-3.252,"major",16.4,53.6,41,"pop",4,16
2012,0.432,54.4,60.7,0,14.8,-6.51,"major",4.89,17.7,52,"hip",4,22
2020,10.3,95,50,0.00377,10.3,-8.18,"major",39.9,59.8,53,"hip",2,23
2016,0.196,77.6,67.5,0,22.7,-6.224,"minor",26.6,27,61,"hip",3,38
2017,1.02,83.3,43.4,2.19,16.5,-8.795,"major",43.1,28.1,83,"hip",3,25
2020,4.55,93.5,47.2,0,19,-9.304,"minor",5.75,65.9,74,"hip",3,57
1983,0.954,66.3,70,0,8.88,-10.566,"major",4.19,70.8,23,"other",3,54
1989,29.2,57.9,20.3,0,8.66,-15.216,"minor",6.57,60.2,54,"pop",3,37
2003,3.73,48.4,84.7,0,11.8,-5.042,"major",34.9,67,62,"rap",4,11
2006,22.7,66,76.5,0,37.6,-7.121,"major",24.5,77.1,57,"rap",3,29
1997,33.7,58.6,93.6,0,92.8,-6.605,"major",54.9,73.2,24,"other",3,40
1963,37.8,69.4,87.2,0,30.8,-10.434,"major",15.7,94.1,8,"other",2,9
2006,0.0665,54.5,93.2,0,12.7,-2.189,"minor",3.99,46.4,79,"pop",3,12
2007,0.0665,54.5,93.2,0,12.7,-2.189,"minor",3.99,46.4,79,"pop",3,12
1973,68.9,48.5,41.5,0,17.4,-11.282,"major",2.77,50.6,38,"rock",3,9
1983,23,49.1,75.1,0.00122,6.66,-11.549,"major",6.86,91.6,52,"rock",3,57
1965,42.6,67.6,67.5,0,27.9,-10.663,"major",3.64,84.3,48,"rock",2,30
2019,7.11,72.5,79,0.000114,6.02,-2.331,"major",19.7,76.3,71,"hip",4,48
1997,16.9,69.7,90.1,0,35.6,-7.154,"major",25.9,53.5,55,"hip",4,50
1976,31,66,43.9,0,30.2,-14.79,"major",3.44,90.1,45,"country",2,32
1977,73.9,73.2,16.1,0.0379,10.5,-12.817,"major",3.06,50,65,"country",3,59
1980,3.58,65,45.3,0,7.41,-13.792,"major",3.25,40.5,26,"country",2,40
1978,10.8,71.7,63.8,0.0555,31,-12.419,"major",5.53,90.2,42,"country",3,10
1983,74.3,47.8,37.2,0.18,7.45,-9.639,"minor",2.94,37.5,20,"country",4,3
1968,61.4,52.8,48.2,0,54.9,-10.939,"minor",2.7,78.8,63,"other",3,24
1977,44.1,64.6,53.9,0,22.7,-9.576,"major",3.72,68.9,29,"other",3,33
1967,73.6,32.1,33.1,0.000158,8.54,-13.081,"major",2.93,31.3,56,"other",4,17
1970,11.3,43.9,56.7,0.0119,11.6,-7.559,"minor",3,40.2,44,"other",3,18
1970,55.3,40.4,51.7,0.0025,54.4,-11.056,"major",3.34,48.3,40,"other",4,9
1969,73.6,32.1,33.1,0.000158,8.54,-13.081,"major",2.93,31.3,56,"other",4,17
1969,17.3,49.9,75.9,0,47.7,-8.766,"minor",4.64,79.1,44,"other",3,10
2001,4.43,59.9,77.6,0,3.79,-5.292,"major",4.37,83.1,36,"country",3,30
2001,9.36,48.4,90.5,0,28.6,-3.993,"major",13.5,76.7,45,"country",2,52
1977,0.598,30.8,79.7,0,3.37,-7.739,"major",6.47,33.1,33,"other",2,42
1976,27.6,49.4,66.6,0,15.9,-9.536,"minor",5.18,65.1,29,"country",3,51
1983,52.4,63.5,41,0,4.47,-9.537,"major",2.57,62.9,35,"country",3,48
1980,3.81,49.9,79.4,0.00192,13.8,-7.243,"minor",4.15,34.3,22,"country",4,9
1980,9.09,52.5,80.2,0.00245,16.3,-5.905,"major",5.68,76.4,20,"country",3,25
1979,31.2,62.1,38.7,0.0025,13.9,-10.934,"major",3.12,37,40,"country",4,46
1972,3.3,75.8,58.6,0.28,7.43,-13.461,"minor",5.6,94.7,69,"classic",3,48
1972,78.2,61.9,22,0.00119,12.4,-13.843,"major",6.72,42.6,73,"classic",4,19
2007,28.2,75.8,60.6,0,14.4,-6.444,"major",3.25,36.1,60,"other",4,0
1963,93,66.5,9.89,84.3,11,-19.132,"major",4.58,59.1,50,"other",3,8
2019,7.11,72.5,79,0.000114,6.02,-2.331,"major",19.7,76.3,71,"hip",4,48
2003,0.0172,49.2,89.6,0.000278,18.9,-5.819,"minor",11.7,53.4,75,"other",4,46
1997,75,62.6,42,0,6.48,-11.796,"major",3.39,49.8,56,"other",3,57
2021,3.83,59.1,76.4,0,10.3,-5.484,"major",4.83,47.8,84,"pop",2,22
2012,3.58,71.7,55,0.196,12.6,-6.019,"minor",5.21,33.2,79,"pop",2,51
2020,80.9,56.6,43.8,0,21.2,-7.564,"minor",3.67,69.2,60,"pop",2,17
2010,4.12,71.8,63.8,0,16.9,-3.479,"major",3.1,83.5,63,"pop",3,22
1996,18.5,78.2,51.5,0.00134,5.77,-8.215,"minor",30,79.1,43,"hip",4,20
1997,1.43,73.6,72.1,0,4.51,-6.188,"major",3.96,72,33,"hip",4,4
1997,43.2,81.7,58.4,0.609,22.5,-9.785,"major",17.4,50.1,60,"hip",3,49
1996,43.2,81.7,58.4,0.609,22.5,-9.785,"major",17.4,50.1,60,"hip",3,49
2002,3.51,75.6,91.6,0,24.1,-2.692,"major",20.7,45.8,59,"hip",2,50
2020,1.83,89.5,73.9,0.000761,10.2,-6.633,"major",28.3,76.3,69,"hip",3,39
2009,3.65,41,79.6,0.0156,30.7,-4.222,"major",3.26,34.2,28,"classic",3,59
2016,32.6,61.6,69.7,0.00218,8.27,-5.952,"major",2.95,68,51,"classic",3,11
1974,16.4,60.7,55.8,0.0233,9.12,-11.009,"minor",4.31,91.1,12,"pop",3,39
1970,55.3,51.2,35.2,0.00372,14.2,-12.783,"minor",3.3,36.4,13,"pop",4,9
1970,32.9,53,66.4,0,15.7,-5.791,"major",3.16,84.6,28,"pop",2,33
1969,54.8,48.2,67.4,0,13.5,-5.41,"minor",3.21,61.7,48,"pop",2,45
1970,73.7,39.8,40.5,0.00497,13.1,-6.664,"minor",2.58,44.3,47,"pop",3,31
1973,77.7,52.6,30.4,0,21.8,-12.059,"minor",2.9,32.7,25,"pop",3,51
1969,44.5,29.3,74,0.152,9.98,-6.098,"major",3.99,51.4,60,"pop",4,49
1970,10.1,51.5,83.7,0.00182,21,-3.848,"major",3.21,89.8,22,"pop",2,58
1996,0.606,81.1,73.9,0.000807,39.7,-7.196,"minor",4.51,85.4,57,"other",3,54
2014,3.09,54.5,78,0.00464,8.28,-4.867,"minor",4.36,45.8,80,"pop",4,15
1990,32.9,85.3,48.4,0.013,5.69,-8.634,"minor",6.8,77.8,34,"other",4,31
1972,44.5,57.7,72.1,0.000133,6.61,-12.815,"major",8.34,94,29,"other",3,25
1982,3.28,96.7,63,0.000328,8.32,-13.942,"minor",5.8,96.7,17,"other",3,49
1991,0.263,79.2,73.1,1.26,30.3,-9.659,"major",5.02,83.8,39,"other",4,38
1987,4.25,87.9,51.1,0.74,17.6,-11.36,"minor",12.4,83.9,47,"other",5,3
1987,2.36,77.9,75.6,1.2,9.07,-9.47,"major",4.97,96.2,44,"other",5,8
1969,49.8,64.3,45.7,0,28.3,-10.753,"major",3.94,58.8,39,"other",2,17
1974,87.3,61.5,38.6,77.8,8.87,-11.662,"major",9.04,36.5,46,"classic",3,3
1977,5.75,65.6,64.6,0.464,16,-9.169,"minor",3.36,75,46,"rock",4,2
1981,27.9,73.3,52,0.021,23,-13.588,"major",2.59,85.7,28,"rock",4,24
2019,14,80.4,78.7,0,9.27,-3.824,"minor",7.46,56.2,83,"other",5,9
2007,6.89,74.2,44.1,0,7.15,-5.541,"minor",4.03,39,45,"rap",3,52
2002,0.394,32.3,72.8,0.0447,10.2,-5.416,"major",3.21,48.9,62,"rock",3,35
1965,3.83,61.5,57.7,0.325,24.3,-9.253,"major",5.93,58.7,3,"soul",2,19
1960,79.4,40.9,58.9,0.00394,33.1,-8.156,"major",4.08,82.7,16,"other",2,21
1965,34.8,60.6,63.5,0,24.6,-7.8,"major",3.11,86.3,22,"pop",2,36
2005,3.48,87.2,78.6,0,7.76,-5.473,"major",14.2,72.2,75,"other",2,53
2007,12.3,82.2,90.5,0,4.96,-4.032,"minor",24.1,67.4,67,"hip",3,30
1994,0.915,50.2,75.8,78.3,28.4,-9.76,"major",4.07,72.9,66,"rock",3,34
1968,85.2,48.9,70.1,78,10.8,-10.53,"major",3.48,73.9,55,"other",3,5
2002,23.6,55.2,83.1,0,9.07,-4.819,"major",4.02,60.4,33,"country",3,29
2007,3.94,92.3,79.5,0.0565,10.1,-3.61,"minor",11.7,58.8,62,"pop",4,2
2006,7.17,72.6,70,0,26.2,-5.881,"minor",9.98,67.3,70,"pop",4,6
1997,1.79,63.5,61.4,0.0201,41.5,-7.165,"major",19.7,73.6,64,"pop",4,46
1993,11.9,76.9,78.1,0.0371,5.06,-5.472,"major",7.97,82.6,65,"pop",4,30
2020,74.9,72.8,43.1,0,9.96,-9.966,"minor",6.22,62.9,73,"rap",2,28
1992,5.32,54.9,54.7,32.1,6.55,-10.119,"major",3.28,28.7,50,"other",4,45
1992,2.92,82.4,56.9,0.00235,5.95,-10.386,"major",3.48,70.3,39,"other",4,47
1985,24.4,74.7,67.4,8.19,8.38,-11.686,"major",3.1,74.6,63,"other",3,42
1963,56.2,79.4,80.5,0.0011,15.7,-7.59,"major",9.16,86.3,15,"other",2,1
2014,22.2,57.2,63.1,0,13.5,-9.836,"minor",4.76,7.13,82,"pop",4,9
2016,11.1,58.6,52.5,0,13.4,-7.163,"minor",6.15,50.8,89,"pop",4,20
2015,6.71,58.5,56.4,0,13.5,-7.063,"minor",5.15,13.7,89,"pop",4,2
2015,6.71,58.5,56.4,0,13.5,-7.063,"minor",5.15,13.7,88,"pop",4,2
2019,9.33,65.8,67.1,0.0927,11.5,-12.21,"major",3.63,16.6,84,"pop",3,22
2017,14.2,70.6,50.5,0,16.4,-6.923,"major",19.3,38.8,87,"pop",3,39
2015,22.2,57.2,63.1,0,13.5,-9.836,"minor",4.76,7.13,82,"pop",4,9
2021,0.27,55.3,65.9,0,10.5,-7.295,"major",3.91,10.5,82,"pop",3,54
2018,8.67,73.2,67.8,0.00241,11.2,-4.977,"major",8.86,19.6,77,"pop",3,31
2004,1.3,64.9,88.8,0.000223,8.88,-4.807,"major",2.93,55.3,76,"rock",3,28
2007,0.963,63.9,90.3,0.00706,17.4,-5.013,"minor",3.71,96,64,"rock",4,6
1995,0.258,83.2,89.7,59.1,38.6,-5.093,"minor",3.77,75.8,24,"classic",8,5
1991,30.3,58.2,67.6,0,23.4,-7.496,"major",2.65,49.6,31,"pop",4,9
1990,17.1,65.7,76,0.551,22.4,-8.613,"major",2.98,71,39,"pop",4,34
1991,31.9,68.8,67.9,0.0301,29,-11.05,"minor",2.59,53.6,50,"pop",4,52
1962,62,44.1,45.5,0.187,13.5,-14.207,"major",4.85,91.8,64,"rock",2,32
2017,1.43,74.3,65.1,0,7.9,-5.974,"major",6.46,46.7,49,"hip",3,40
1991,19.7,86.6,39.1,0.0377,8.22,-7.632,"major",4.53,46.2,24,"other",4,1
2020,18.8,84.6,74.8,0,9.3,-3.512,"minor",7.8,59.7,67,"hip",2,41
1978,12.2,80.1,85,0.0971,11.2,-6.342,"major",4.13,92.3,61,"soul",3,38
2002,18.4,51.8,47.8,0,20.2,-8.18,"major",2.33,22,42,"country",4,5
2000,29.1,58.2,92.3,0,6.21,-6.782,"major",5.55,95.3,25,"country",3,5
1982,69.4,74.6,46.1,0.00274,15.6,-10.229,"major",3.34,69.4,29,"rock",3,36
1997,14,55.4,91.2,4.21,6.4,-4.315,"minor",3.76,51.5,36,"rock",4,59
2018,20.5,62.6,88,0,12.8,-2.384,"minor",5.04,53.4,79,"pop",3,23
1985,0.979,69.9,69.2,0.0326,4.27,-13.045,"major",4.56,67.7,61,"other",4,13
1986,0.979,69.9,69.2,0.0326,4.27,-13.045,"major",4.56,67.7,61,"other",4,13
1989,11.1,53.5,63,0.0297,30,-9.776,"major",2.8,45.4,35,"other",4,49
1999,3.87,70.9,91.1,0.0132,39.1,-6.945,"minor",4.33,66.1,50,"other",4,40
1985,5.14,71.1,90.9,0.375,7.17,-6.742,"minor",3.41,89.5,31,"rock",5,58
1984,3.44,74.8,72.2,1.64,8.57,-6.499,"major",3.47,83.5,51,"rock",5,12
1992,15.2,67.5,61,0.135,12.4,-12.398,"major",3.55,82.1,35,"rock",3,17
1990,7.18,78.1,83.8,0.000542,3.81,-13.943,"major",4.94,84.9,34,"hip",4,4
2019,19.3,57.9,90.4,0,6.4,-2.729,"major",6.18,68.1,84,"rock",3,11
1984,11.7,68.3,72.2,39.2,15.8,-11.77,"minor",3.22,87.9,40,"other",4,17
1990,21.4,77.7,80.4,0.0308,9.2,-9.329,"major",4.27,83,35,"rock",3,47
1986,0.711,77.6,86.6,0.0266,5.39,-7.563,"major",4.38,96.4,57,"rock",3,36
2002,3.51,75.6,91.6,0,24.1,-2.692,"major",20.7,45.8,59,"hip",2,50
2016,6.09,64.7,59,0,38.1,-9.931,"major",24.7,41.5,42,"hip",3,21
1973,66.1,57.6,31.8,0.000747,16.7,-14.366,"major",2.86,41,62,"country",2,42
1974,92.8,32.5,25.2,0.00287,31.5,-12.332,"major",2.81,42,23,"country",2,13
1998,12.8,65.9,75.1,0,33.4,-5.783,"minor",3.2,92.1,33,"other",3,36
2011,18.2,67.3,93.2,0.000193,30.3,-3.252,"major",16.4,53.6,41,"pop",4,16
2008,2.8,71.1,75.3,0.00296,15.2,-6.461,"minor",7.66,58.8,70,"pop",3,54
2009,66.1,72.7,64.9,0,11.1,-5.356,"major",3.38,66.9,72,"pop",4,15
2012,24.8,65.8,67.7,0,36.8,-6.628,"major",3.93,24.8,71,"pop",4,12
1993,15.5,72.6,50.1,0,8.93,-13.884,"minor",15.4,58.2,65,"other",5,31
1993,32.4,65.7,33.3,0,6.74,-14.956,"minor",4.59,39,42,"other",5,34
1995,11.3,81.9,77.1,0.0023,11.8,-4.427,"minor",19.5,73.1,39,"rock",3,52
1963,69.6,21.8,40,0.000124,22.6,-9.615,"major",3.21,32.1,9,"other",3,24
1978,20.1,32.8,78.2,0,20.9,-8.239,"major",11.4,69.3,15,"other",2,40
1961,89.6,23.7,25.1,0.0077,30.7,-12.941,"minor",3.26,29.6,3,"other",3,3
1978,46.4,50.1,57.3,0.000637,9.37,-9.078,"major",6.73,75.3,39,"other",2,56
1966,65.8,67,78.7,0.0217,13,-6.847,"minor",4.46,81.9,41,"soul",4,15
1969,27.9,54.8,77.8,2.47,4.84,-6.367,"major",5.51,96.9,70,"rock",3,1
1982,4.36,63.1,93.2,13.7,9.18,-4.142,"major",3.54,97.1,82,"rock",3,33
1982,2.99,46.1,90.6,1.04,31.9,-4.369,"major",3.56,93.9,50,"rock",2,21
1964,2.39,60.3,68.9,0.000327,33,-10.729,"major",3.04,76.1,47,"rock",3,26
1976,89.2,44.4,45.4,5.46,11.4,-7.434,"major",4.19,23.6,54,"rock",5,5
1990,27.5,64.8,81.5,0.0193,7.6,-5.391,"minor",2.32,75.9,45,"rock",4,37
1965,2.89,57.9,87.7,57.1,6.56,-8.83,"major",4.88,90,56,"rock",2,55
1990,2.91,47.4,36.9,0.00586,12.8,-14.216,"major",2.96,15.6,52,"rock",4,34
1969,63.5,67.6,35.2,0,4.17,-13.858,"major",3.84,78.7,44,"rock",2,26
1967,36.9,41.3,72.5,0.00216,9.05,-5.787,"minor",3.24,44,72,"rock",7,10
1971,25,55,72.2,1.29,11,-11.729,"minor",2.83,71.6,75,"rock",7,15
1967,68.5,69.9,46.7,0,31.5,-8.578,"minor",3.75,76.4,78,"rock",2,10
1995,1.24,73.8,93.7,0.206,3.38,-7.788,"minor",6.68,61.4,62,"country",3,14
1975,64.6,43,41,0.00158,9.75,-10.349,"major",3.05,36.7,25,"classic",2,48
1995,3.96,78.8,64.2,0.0242,5.29,-9.467,"major",3.94,90.1,37,"other",5,25
1992,67.1,40.1,48.9,0,88.7,-9.919,"major",3.28,30.3,53,"other",4,24
