id,name
4ZeqFaMDjGUe1IHJznXUbr,Jim Photoglo
7HLvzuM9p11k9lUQfSM4Rq,Warrant
6LK7EEHFApe9FZbFRFyBDN,The Newbeats
64vw6q9ZBTop3Tf2ol1x4U,The Crests
1pXoY8oTJtPVGsrB4jmCRw,Johnny Maestro
6iA5wBxxMxUMr9a4fnJd34,Debra Laws
17vIaBTHJOVxnU4v7t1DiY,1910 Fruitgum Company
3WrFJ7ztbogyGnTHbHJFl2,The Beatles
6IE6z7DcZIT4Ml3Fh5Ivch,Selena
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
3iDD7bnsjL9J4fO298r0L0,Chicago
1KXwUKaBcLySwrCSsOa0aa,Chicory Tip
7gi3jmwpUpNWdswT8eEprF,Conway Twitty
2sd9Q3r0Jhqpe3w9WVuG43,Crystal Waters
1LZEQNv7sE11VDY3SdxQeN,Bee Gees
02Xpf8IlAGeelWAQZP33kQ,Boy Meets Girl
266SmBZTt4zRzaKEANWbfQ,Adina Howard
0lZoBs4Pzo7R89JM9lxwoT,Duran Duran
3lPQ2Fk5JOwGWAF3ORFCqH,John Mellencamp
5gznATMVO85ZcLTkE9ULU7,Lenny Kravitz
5QKYeEDsNp6ScBnkGdfrx9,David & David
0N0d3kjwdY2h7UVuTdJGfp,Cascada
0MPtuQaV2GiRdLjAkPOaan,Little Milton
1HY2Jd0NmPuamShAr6KMms,Lady Gaga
4VIvfOurcf0vuLRxLkGnIG,Bradley Cooper
4IWBUUAFIplrNtaOHcJPRM,James Arthur
4L1z1IcfK7lbqx8izGHaw5,Juice Newton
0c08N8UlFjDaup9TNDaWxy,Sonny James
5iAUyEtaKVbqz3TDhXsz2H,Kathy Dee
1dfeR4HaWDbWqFHLkxsg1d,Queen
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again
0auxGqduSBWubpKjjSNKLr,Doctor & The Medics
2owAqJG3UT1Qel0oW0ote7,Keith Colley
7y70dch6JuuuNnwlsOQvwW,Nitty Gritty Dirt Band
1k8VBufn1nBs8LN9n4snc8,Stereo MC's
7bNoMfBqbaLJrfH3Vw1q6L,The Elegants
0TImkz4nPqjegtVSMZnMRq,TLC
1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas
0PDqlUGugF5Jt6DZyATvfz,Betty Wright
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan
6dQgkiJm1fRkcqKOvPzysr,Brownstone
7fmKtIgmxqNEKjATioVNsu,Pat Boone
6kz53iCdBSqhQCZ21CoLcc,Culture Club
2y8Jo9CKhJvtfeKOsYzRdT,Rod Stewart
1Tdrtr2WwDDde01GJllidM,Trick Pony
3j7Sw80qzL2FJlryUhI3wG,Shabba Ranks
4AK6F7OLvEQ5QYCBNiQWHq,One Direction
2WvLeseDGPX1slhmxI59G3,Robin S
71lGEtP9qYXDsSXjfexTqO,Sonny & Cher
1RyvyyTE3xzB2ZywiAwp0i,Future
6Bfy6QzadCXS92y0T8dDZF,Eddie Floyd
6RWnslEkqboHbDg0OUabe5,Mandrill
3Mcii5XWf6E0lrY3Uky4cA,Ice Cube
5lkiCO9UQ8B23dZ1o0UV4m,Jackson Browne
0Ma8KxtvoIDSU5fHtuTS9F,The Vogues
1UdQqCUR7RwB9YYJONwbdM,Trapt
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X
7EK1bQADBoqbYXnT4Cqv9w,John Denver
16eRpMNXSQ15wuJoeqguaB,The Flaming Lips
53A0W3U0s8diEn9RhXQhVz,Keane
0Jeckitay8SbvKwqAzWuYH,Big Mountain
0I5HubncQ8E1MFZOlPDY4J,Trinidad James
7d8R11w4QG2ihJeTaZq37F,Donny & Marie Osmond
2Uuon75BhnuuxdKLYn4wHn,Eddie Kendricks
0YrtvWJMgSdVrk3SfNjTbx,Death Cab for Cutie
1Kpw1Yu7PGX4iqfmL1qbJ0,Richard Chamberlain
2iE18Oxc8YSumAU232n4rW,The Jackson 5
3EY5DxGdy7x4GelivOjS2Q,Connie Francis
0MBIKH9DjtBkv8O3nS6szj,"10,000 Maniacs"
522yoVmanZmrgK5qy3GyRK,Bloodrock
6LuN9FCkKOj5PcnpouEgny,Khalid
6nS5roXSAGhTGr34W6n7Et,Disclosure
5WUlDfRSoLAfcVSX1WnrxN,Sia
3rIZMv9rysU7JkLzEaC5Jp,Snow Patrol
1fBCIkoPOPCDLUxGuWNvyo,Poison
5sAg1HZePcFfhrs0G8A8OP,Ray Price
3SIW6eVIZSz9V05WsaKIr3,Joey McIntyre
1Q4owXd4g9XfHNykUm6GJh,The Movement
0tCtGc5vt29zFZp6KXzN50,Beanie Sigel
2Jwr7hGoSNK3S3QBxh3T0z,Freeway
5dcOK4stT4JDkP6Dqhbz5s,Sheena Easton
6LXtFndRkOihPIa2dWY3FH,Kalin Twins
4FtSnMlCVxCswABUmdhwpm,Carly Simon
1yjuFciXmV3NaPCzwwHclC,The Bucketheads
4salDzkGmfycRqNUbyBphh,Styx
34jw2BbxjoYalTp8cJFCPv,Heart
1T0wRBO0CK0vK8ouUMqEl5,Tom Jones
6LYeatSMMLGVN0DPtMkmTM,Father MC
4X5sDGyZvekLEEbM1bm7GD,Robin Ward
3FUY2gzHeIiaesXtOAdB7A,Train
4BoRxUdrcgbbq1rxJvvhg9,Olivia Newton-John
34E3csCxpXunPGEkOVVX2g,Albert Hammond
1eOE3eEJL7vPDoe4cwm5q0,The G Clefs
0U2mUJuJkthantMGmsJygP,Jerry Butler
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat
20p5D2KrE8CGuOjHtxsyTp,Fine Young Cannibals
51d3rUlLuMh7EW09aMe7yj,B2K
23LbwefIODbyGdRbAz3urj,Yung Joc
14J79DfdiKcztA7WrrpqIP,NITTI
25pwh5JrKHzLv2FTPSvoqa,Vicki Sue Robinson
6TKOZZDd5uV5KnyC5G4MUt,Smokey Robinson & The Miracles
7Ey4PD4MYsKc5I2dolUwbH,Aerosmith
0DAqhikcMKLo2lPADVz2fs,Jay & The Americans
5pKCCKE2ajJHZ9KAiaK11H,Rihanna
1QAGLCom3FHTTiuRFsjzOj,Carla Thomas
0GByy3DcfbQwDvXGCWmzv9,Pretenders
6zmLTiN3NBNCDECRbbJKkT,The Fabulous Thunderbirds
4dNs4gsyisVixgpkjyvD8D,The Esquires
3UVRliakQfa1pMWIsNuiZ8,Musiq Soulchild
67RWyN1fDOu7WuSTIi5hE7,Shaquille O'Neal
3JhRHqCi8HEzkJVWt19LtN,Stephen Bishop
0C0XlULifJtAgn6ZNCW2eu,The Killers
3YmywXnB2RxQ9IvUzZqvo9,Aaron Lines
2y84iEkH5jHZcou93YUSXE,Syndicate Of Sound
0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers
5gxynDEKwNDgxGJmJjZyte,Steve Winwood
